,number,value,datetime_start,datetime_complete,duration,params_dropout_perc,params_hidden_dim,params_lr,params_num_hidden_layers,state
0,0,0.20157687366008759,2025-02-04 15:03:00.998955,2025-02-04 15:03:03.942729,0 days 00:00:02.943774,0.4,512,0.0038206980888725955,5,COMPLETE
1,1,0.3268519937992096,2025-02-04 15:03:03.943543,2025-02-04 15:03:11.252709,0 days 00:00:07.309166,0.6,256,1.6539167593926525e-05,3,COMPLETE
2,2,0.20123815536499023,2025-02-04 15:03:11.253326,2025-02-04 15:03:15.585435,0 days 00:00:04.332109,0.1,640,0.0049159044820951325,5,COMPLETE
3,3,0.3801601827144623,2025-02-04 15:03:15.586037,2025-02-04 15:03:25.460900,0 days 00:00:09.874863,0.4,192,1.2763659072230994e-05,4,COMPLETE
4,4,0.1995498389005661,2025-02-04 15:03:25.461636,2025-02-04 15:03:29.113434,0 days 00:00:03.651798,0.30000000000000004,448,0.0012105384460143992,3,COMPLETE
5,5,0.20494581758975983,2025-02-04 15:03:29.114082,2025-02-04 15:03:36.952106,0 days 00:00:07.838024,0.2,640,5.632164598064656e-05,1,COMPLETE
6,6,0.20978762209415436,2025-02-04 15:03:36.952860,2025-02-04 15:03:40.104500,0 days 00:00:03.151640,0.1,704,0.00011881561290256475,3,COMPLETE
7,7,0.20427078008651733,2025-02-04 15:03:40.105174,2025-02-04 15:03:42.384811,0 days 00:00:02.279637,0.1,320,0.0009875011173769892,2,COMPLETE
8,8,0.2096022665500641,2025-02-04 15:03:42.385534,2025-02-04 15:03:52.868857,0 days 00:00:10.483323,0.5,448,0.00010088054124283848,4,COMPLETE
9,9,0.19423019886016846,2025-02-04 15:03:52.869857,2025-02-04 15:03:57.206772,0 days 00:00:04.336915,0.6,576,0.005582386718163443,1,COMPLETE
10,10,0.1979479342699051,2025-02-04 15:03:57.207753,2025-02-04 15:04:04.128901,0 days 00:00:06.921148,0.6,1024,0.0005939806347881402,1,COMPLETE
11,11,0.19497564435005188,2025-02-04 15:04:04.129815,2025-02-04 15:04:09.488769,0 days 00:00:05.358954,0.6,960,0.009927636384547233,1,COMPLETE
12,12,0.19610348343849182,2025-02-04 15:04:09.489510,2025-02-04 15:04:14.647157,0 days 00:00:05.157647,0.5,960,0.008392095092792718,1,COMPLETE
13,13,0.19596949219703674,2025-02-04 15:04:14.647871,2025-02-04 15:04:19.648419,0 days 00:00:05.000548,0.6,896,0.00234785349170586,2,COMPLETE
14,14,0.2014012485742569,2025-02-04 15:04:19.649232,2025-02-04 15:04:22.405291,0 days 00:00:02.756059,0.5,832,0.008413742628184591,2,COMPLETE
15,15,0.21036505699157715,2025-02-04 15:04:22.406157,2025-02-04 15:04:32.100840,0 days 00:00:09.694683,0.6,64,0.0024694181367092578,1,COMPLETE
16,16,0.1979578584432602,2025-02-04 15:04:32.101447,2025-02-04 15:04:37.780334,0 days 00:00:05.678887,0.5,768,0.0003364384410265314,2,COMPLETE
17,17,0.20154248178005219,2025-02-04 15:04:37.780981,2025-02-04 15:04:41.248575,0 days 00:00:03.467594,0.30000000000000004,1024,0.0016097593888435128,1,COMPLETE
18,18,0.19939273595809937,2025-02-04 15:04:41.249300,2025-02-04 15:04:44.747927,0 days 00:00:03.498627,0.4,832,0.005310535239618832,2,COMPLETE
19,19,0.1955418437719345,2025-02-04 15:04:44.748794,2025-02-04 15:04:47.043216,0 days 00:00:02.294422,0.6,576,0.003390558670262514,1,COMPLETE
20,20,0.19852013885974884,2025-02-04 15:04:47.044030,2025-02-04 15:04:52.356344,0 days 00:00:05.312314,0.5,384,0.0006204548550094967,4,COMPLETE
21,21,0.1942516714334488,2025-02-04 15:04:52.356959,2025-02-04 15:04:58.621161,0 days 00:00:06.264202,0.6,576,0.009181359363602173,1,COMPLETE
22,22,0.1946004331111908,2025-02-04 15:04:58.621828,2025-02-04 15:05:03.640626,0 days 00:00:05.018798,0.6,576,0.009466598777614478,1,COMPLETE
23,23,0.19484290480613708,2025-02-04 15:05:03.641244,2025-02-04 15:05:08.103713,0 days 00:00:04.462469,0.5,576,0.0056876996645511485,2,COMPLETE
24,24,0.19487327337265015,2025-02-04 15:05:08.104570,2025-02-04 15:05:15.272657,0 days 00:00:07.168087,0.6,512,0.0025846179161801205,1,COMPLETE
25,25,0.1956019252538681,2025-02-04 15:05:15.273470,2025-02-04 15:05:21.077563,0 days 00:00:05.804093,0.5,704,0.009627577701088486,2,COMPLETE
26,26,0.19565390050411224,2025-02-04 15:05:21.078278,2025-02-04 15:05:25.471194,0 days 00:00:04.392916,0.6,640,0.0015415625275370147,1,COMPLETE
27,27,0.19646315276622772,2025-02-04 15:05:25.471852,2025-02-04 15:05:28.908699,0 days 00:00:03.436847,0.4,448,0.005571704654609835,2,COMPLETE
28,28,0.2003479301929474,2025-02-04 15:05:28.909334,2025-02-04 15:05:31.400937,0 days 00:00:02.491603,0.2,384,0.0007991519648979607,1,COMPLETE
29,29,0.19740235805511475,2025-02-04 15:05:31.401598,2025-02-04 15:05:34.089175,0 days 00:00:02.687577,0.4,512,0.003330315507627117,1,COMPLETE
30,30,0.20617449283599854,2025-02-04 15:05:34.090324,2025-02-04 15:05:38.452690,0 days 00:00:04.362366,0.6,704,0.00028002127933704723,5,COMPLETE
31,31,0.19570083916187286,2025-02-04 15:05:38.453355,2025-02-04 15:05:42.929573,0 days 00:00:04.476218,0.5,576,0.005465408717585265,2,COMPLETE
32,32,0.1943749338388443,2025-02-04 15:05:42.930218,2025-02-04 15:05:47.968623,0 days 00:00:05.038405,0.6,576,0.006467726183685926,2,COMPLETE
33,33,0.19504520297050476,2025-02-04 15:05:47.969502,2025-02-04 15:05:52.113694,0 days 00:00:04.144192,0.6,512,0.003595247951805045,1,COMPLETE
34,34,0.21852920949459076,2025-02-04 15:05:52.114346,2025-02-04 15:06:02.625671,0 days 00:00:10.511325,0.6,768,2.6315422551656142e-05,2,COMPLETE
35,35,0.19395393133163452,2025-02-04 15:06:02.626664,2025-02-04 15:06:08.675430,0 days 00:00:06.048766,0.6,640,0.0069941595080348865,3,COMPLETE
36,36,0.1953202486038208,2025-02-04 15:06:08.676105,2025-02-04 15:06:15.465049,0 days 00:00:06.788944,0.5,640,0.002073462048997824,3,COMPLETE
37,37,0.19658999145030975,2025-02-04 15:06:15.465936,2025-02-04 15:06:18.770508,0 days 00:00:03.304572,0.6,192,0.0042573496394265374,3,COMPLETE
38,38,0.1975105255842209,2025-02-04 15:06:18.771150,2025-02-04 15:06:22.754103,0 days 00:00:03.982953,0.30000000000000004,384,0.006772868855574762,4,COMPLETE
39,39,0.19556456804275513,2025-02-04 15:06:22.754960,2025-02-04 15:06:28.565955,0 days 00:00:05.810995,0.5,704,0.0038973586831598747,3,COMPLETE
40,40,0.20304377377033234,2025-02-04 15:06:28.566885,2025-02-04 15:06:31.483582,0 days 00:00:02.916697,0.2,640,0.0014594396994139522,3,COMPLETE
41,41,0.19459548592567444,2025-02-04 15:06:31.484215,2025-02-04 15:06:35.973844,0 days 00:00:04.489629,0.6,576,0.006886894668462247,1,COMPLETE
42,42,0.19427286088466644,2025-02-04 15:06:35.974565,2025-02-04 15:06:42.588895,0 days 00:00:06.614330,0.6,576,0.006852347517321575,1,COMPLETE
43,43,0.19500504434108734,2025-02-04 15:06:42.589623,2025-02-04 15:06:46.239243,0 days 00:00:03.649620,0.6,448,0.0030416648722079703,3,COMPLETE
44,44,0.1939060091972351,2025-02-04 15:06:46.240022,2025-02-04 15:06:52.884106,0 days 00:00:06.644084,0.6,640,0.0067128452053172635,2,COMPLETE
45,45,0.19867022335529327,2025-02-04 15:06:52.885165,2025-02-04 15:06:58.139549,0 days 00:00:05.254384,0.6,768,0.0045497851281959545,4,COMPLETE
46,46,0.1949906051158905,2025-02-04 15:06:58.140274,2025-02-04 15:07:04.280568,0 days 00:00:06.140294,0.5,640,0.0071405096854132615,1,COMPLETE
47,47,0.20475652813911438,2025-02-04 15:07:04.281429,2025-02-04 15:07:14.084006,0 days 00:00:09.802577,0.5,448,0.0001531279983664567,2,COMPLETE
48,48,0.2264135777950287,2025-02-04 15:07:14.084607,2025-02-04 15:07:21.517629,0 days 00:00:07.433022,0.6,512,3.83964132108773e-05,1,COMPLETE
49,49,0.1959671974182129,2025-02-04 15:07:21.518626,2025-02-04 15:07:28.448742,0 days 00:00:06.930116,0.6,704,0.0011123135119995176,2,COMPLETE
